"","word","n","per","value"
"1","ignore",2,0.529100529100529,-1
"2","improved",2,0.529100529100529,2
"3","advantage",1,0.264550264550265,2
"4","anxious",1,0.264550264550265,-2
"5","comfortable",1,0.264550264550265,2
"6","difficult",1,0.264550264550265,-1
"7","disadvantage",1,0.264550264550265,-2
"8","encourage",1,0.264550264550265,2
"9","ensuring",1,0.264550264550265,1
"10","friendly",1,0.264550264550265,2
"11","hard",1,0.264550264550265,-1
"12","interrupt",1,0.264550264550265,-2
"13","noisy",1,0.264550264550265,-1
"14","prevent",1,0.264550264550265,-1
"15","questioning",1,0.264550264550265,-1
"16","save",1,0.264550264550265,2
"17","saved",1,0.264550264550265,2
"18","stable",1,0.264550264550265,2
"19","struggling",1,0.264550264550265,-2
"20","superior",1,0.264550264550265,2
