"","word","n","per","value"
"1","lack",3,1.20967741935484,-2
"2","ability",2,0.806451612903226,2
"3","distraction",2,0.806451612903226,-2
"4","easy",2,0.806451612903226,1
"5","boring",1,0.403225806451613,-3
"6","comfort",1,0.403225806451613,2
"7","demonstration",1,0.403225806451613,-1
"8","difficult",1,0.403225806451613,-1
"9","gaining",1,0.403225806451613,2
"10","helps",1,0.403225806451613,2
"11","importance",1,0.403225806451613,2
"12","improved",1,0.403225806451613,2
"13","improving",1,0.403225806451613,2
"14","integrity",1,0.403225806451613,2
"15","matter",1,0.403225806451613,1
"16","motivation",1,0.403225806451613,1
"17","offline",1,0.403225806451613,-1
"18","poor",1,0.403225806451613,-2
"19","pressure",1,0.403225806451613,-1
"20","saved",1,0.403225806451613,2
